指标名称,资金净流入额：A股,资金净流入额：主板,美元指数,GDP：当季值,GDP：当季同比,GDP增长贡献率：最终消费支出,GDP增长贡献率：资本形成总额,GDP增长贡献率：货物和服务净出口,全社会用电量：当月值,全社会用电量：当月同比,GDP：当季同比,工业增加值：当月同比,资产负债率,应收账款平均回收期,利润总额：累计同比,工业企业：利润总额：当月同比,固定资产投资完成额：累计同比,房地产开发投资完成额：开发计划总投资：累计同比,房地产开发投资完成额：开发新增固定资产：累计同比,房地产开发计划总投资：当月值,房地产开发新增固定资产投资：当月值,贸易顺差：当月值,贸易顺差：当月同比,财政预算收入：当月值,财政预算收入：当月同比,CPI：当月同比,PPI：全部工业品：当月同比,M2：同比,M2：环比,M2,PMI,宏观经济景气指数：预警指数,涨跌幅：上证综合指数,涨跌幅：沪深300指数
单位,元,元,1973年3月=100,亿元,%,%,%,%,亿千瓦时,%,%,%,%,天,%,%,%,%,%,万元,万元,千美元,%,亿元,%,%,%,%,%,亿元,%,,%,%
2008-12-31,,,81.17,88699,7.1,,,,2737.11,-9.78,7.1,5.7,,,,,26.1,,,75921500,53169400,38980036,71.82,3248.69,3.3,1.2,-1.14,17.82,3.6,475166.6,41.2,78.7,-0.66,-0.86
2009-01-01,,,80.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-02,,,81.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-05,,,82.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,3.59
2009-01-06,,,82.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.18
2009-01-07,,,82.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.68,-0.6
2009-01-08,,,81.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.38,-2.24
2009-01-09,,,82.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,1.61
2009-01-12,,,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24,0.12
2009-01-13,,,84.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.95,-2.32
2009-01-14,,,84.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52,4.21
2009-01-15,,,84.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45,-0.02
2009-01-16,,,84.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,1.81
2009-01-19,,,85.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.12
2009-01-20,,,86.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.63
2009-01-21,,,85.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,-0.17
2009-01-22,,,85.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.13
2009-01-23,,,85.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.71,-0.58
2009-01-26,,,84.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-27,,,84.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-28,,,84.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-29,,,85.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-30,,,85.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,2511.64,-13.15,,,,,,,,,,,,39109336,100.92,6131.61,-17.1,0.95,-3.35,18.79,4.41,496135.31,45.3,74.7,,
2009-02-02,,,85.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,1.2
2009-02-03,,,84.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,2.52
2009-02-04,,,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,2.73
2009-02-05,,,86.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,-0.71
2009-02-06,,,85.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97,4.01
2009-02-09,,,84.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,2.65
2009-02-10,,,85.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,1.31
2009-02-11,,,85.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,0.19
2009-02-12,,,86.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.56,-0.55
2009-02-13,,,86.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,3.48
2009-02-16,,,86.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,2.63
2009-02-17,,,87.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.93,-3.13
2009-02-18,,,88.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.72,-4.59
2009-02-19,,,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.99
2009-02-20,,,86.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,2
2009-02-23,,,87.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,2.82
2009-02-24,,,86.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.56,-4.51
2009-02-25,,,87.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.1
2009-02-26,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.87,-4.95
2009-02-27,,,88.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.81,-2.27
2009-02-28,,,,,,,,,2460.54,4.39,,11,57.98,,-37.3,,26.5,22.9,44.5,,,4840991,-43.41,4108.23,-1.22,-1.56,-4.47,20.48,2.13,506708.07,49,73.3,,
2009-03-02,,,88.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,1.13
2009-03-03,,,89.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.05,-1.04
2009-03-04,,,88.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12,6.68
2009-03-05,,,89.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,0.87
2009-03-06,,,88.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.26,-0.8
2009-03-09,,,89.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.39,-3.68
2009-03-10,,,88.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.74
2009-03-11,,,87.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.91,-0.91
2009-03-12,,,87.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24,-0.21
2009-03-13,,,87.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24,-0.46
2009-03-16,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,1.64
2009-03-17,,,86.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,3.6
2009-03-18,,,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.44
2009-03-19,,,83.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,2.14
2009-03-20,,,83.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,-0.11
2009-03-23,,,83.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,2.5
2009-03-24,,,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.51
2009-03-25,,,83.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2.06
2009-03-26,,,84.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,3.27
2009-03-27,,,85.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.77
2009-03-30,,,85.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.69,-0.58
2009-03-31,,,85.6,73979.2,6.4,70,33,-3,2833.89,-2.01,6.4,8.3,,,,,28.6,21.6,36.9,162155400,10061400,18561435,38.45,4402.21,-0.31,-1.17,-5.99,25.51,4.72,530626.71,52.4,76,0.64,0.94
2009-04-01,,,85.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.61
2009-04-02,,,84.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,1.11
2009-04-03,,,84.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23,-0.23
2009-04-06,,,84.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-07,,,85.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.25
2009-04-08,,,85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.76,-3.79
2009-04-09,,,85.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,1.55
2009-04-10,,,85.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.09
2009-04-13,,,84.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,2.35
2009-04-14,,,84.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.77
2009-04-15,,,84.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.38
2009-04-16,,,85.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,0
2009-04-17,,,85.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.19,-1.36
2009-04-20,,,86.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,2.15
2009-04-21,,,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.85,-1.19
2009-04-22,,,86.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.94,-3.71
2009-04-23,,,85.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.67
2009-04-24,,,84.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.62,-0.8
2009-04-27,,,85.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.77,-2.32
2009-04-28,,,85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,0.21
2009-04-29,,,84.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,3.45
2009-04-30,,,84.79,,,,,,2756.72,-3.63,,7.3,,,,,30.5,19.8,35.1,78779700,7772700,13135035,-21.24,5897.15,-13.59,-1.5,-6.6,25.95,1.86,540481.21,53.5,78,0.38,0.67
2009-05-01,,,84.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-04,,,83.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,3.48
2009-05-05,,,84.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.47
2009-05-06,,,83.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.39
2009-05-07,,,83.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.08
2009-05-08,,,82.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,0.8
2009-05-11,,,82.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.75,-2.29
2009-05-12,,,82.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,2.32
2009-05-13,,,82.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,0.91
2009-05-14,,,82.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,-0.76
2009-05-15,,,82.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.13
2009-05-18,,,82.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.52
2009-05-19,,,82.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.05
2009-05-20,,,81.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.94,-0.96
2009-05-21,,,80.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.54,-2.23
2009-05-22,,,80.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,-0.34
2009-05-25,,,80.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.44
2009-05-26,,,80.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.82,-1.2
2009-05-27,,,80.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,1.47
2009-05-28,,,80.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-29,,,79.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,2877.99,-2.57,,8.9,59.18,,-22.9,,32.9,19.1,36.6,68971400,8797800,13388530,-33.75,6569.47,4.81,-1.37,-7.2,25.74,1.44,548263.51,53.1,84,,
2009-06-01,,,79.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,3.57
2009-06-02,,,78.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.24
2009-06-03,,,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,2.59
2009-06-04,,,79.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.41,0.49
2009-06-05,,,80.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.48,-0.49
2009-06-08,,,80.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.31
2009-06-09,,,79.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.41
2009-06-10,,,80.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,0.98
2009-06-11,,,79.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.67,-0.94
2009-06-12,,,80.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.91,-1.87
2009-06-15,,,81.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,2.06
2009-06-16,,,80.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.48,-0.17
2009-06-17,,,80.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.67
2009-06-18,,,80.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,1.56
2009-06-19,,,80.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.74
2009-06-22,,,80.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.08
2009-06-23,,,79.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12,0.04
2009-06-24,,,80.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,1.19
2009-06-25,,,80.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,-0.09
2009-06-26,,,79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.34
2009-06-29,,,79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,1.65
2009-06-30,,,80.16,83865.8,8.2,53.4,87.9,-41,3083.34,4.3,8.2,10.7,,,,,33.6,19,34.2,104749600,12093900,8335934,-60.3,6867.47,19.56,-1.7,-7.8,28.46,3.77,568916.2,53.2,86.7,-0.54,-0.42
2009-07-01,,,79.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,2.26
2009-07-02,,,80.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,1.37
2009-07-03,,,80.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,1.36
2009-07-06,,,80.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,1.43
2009-07-07,,,80.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.13,-1.02
2009-07-08,,,80.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28,0.35
2009-07-09,,,79.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.31
2009-07-10,,,80.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29,0.06
2009-07-13,,,80.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.07,-1.1
2009-07-14,,,80.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.79
2009-07-15,,,79.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,1.12
2009-07-16,,,79.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,0.23
2009-07-17,,,79.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.53
2009-07-20,,,78.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,2.03
2009-07-21,,,78.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.64,-1.43
2009-07-22,,,78.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,1.9
2009-07-23,,,79.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,1.25
2009-07-24,,,78.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,0.43
2009-07-27,,,78.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,2.07
2009-07-28,,,78.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.33
2009-07-29,,,79.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,-5.25
2009-07-30,,,79.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,2.14
2009-07-31,,,78.35,,,,,,3420,6,,10.8,,,,,32.9,19.7,36,46501400,13162400,10629657,-57.95,6695.91,10.25,-1.81,-8.22,28.42,0.74,573102.85,53.3,90,2.72,2.75
2009-08-03,,,77.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,1.4
2009-08-04,,,77.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,-0.01
2009-08-05,,,77.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.24,-1.21
2009-08-06,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1,-2.08
2009-08-07,,,78.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.85,-2.95
2009-08-10,,,79.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34,-0.3
2009-08-11,,,79.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.33
2009-08-12,,,78.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.66,-4.47
2009-08-13,,,78.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,1.28
2009-08-14,,,78.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.98,-2.8
2009-08-17,,,79.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.79,-6.11
2009-08-18,,,78.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.01
2009-08-19,,,78.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3,-4.96
2009-08-20,,,78.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,4.31
2009-08-21,,,78.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,1.88
2009-08-24,,,78.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.81
2009-08-25,,,78.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.59,-3.71
2009-08-26,,,78.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,2.01
2009-08-27,,,78.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.71,-0.51
2009-08-28,,,78.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.91,-3.47
2009-08-31,,,78.16,,,,,,3462,8.22,,12.3,59.15,,-10.6,,33,20.2,36.6,42126600,9767000,15711775,-45.24,5237.47,36.11,-1.2,-7.86,28.53,0.63,576698.95,54,96.7,-6.74,-7.11
2009-09-01,,,78.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.47
2009-09-02,,,78.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,1.66
2009-09-03,,,78.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,5.57
2009-09-04,,,78.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0.82
2009-09-07,,,77.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.88
2009-09-08,,,77.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,2.15
2009-09-09,,,77.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.76
2009-09-10,,,76.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.73,-1
2009-09-11,,,76.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,2.38
2009-09-14,,,76.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,1.71
2009-09-15,,,76.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.28
2009-09-16,,,76.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.12,-1.34
2009-09-17,,,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,1.9
2009-09-18,,,76.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.19,-3.63
2009-09-21,,,76.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.28
2009-09-22,,,76.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.34,-2.42
2009-09-23,,,76.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.89,-2.27
2009-09-24,,,76.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.68
2009-09-25,,,76.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.52,-0.73
2009-09-28,,,76.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.65,-2.81
2009-09-29,,,77.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33,-0.01
2009-09-30,,,76.7,89846.9,10.6,51.8,94.9,-46.7,3224,10.24,10.6,13.9,,,,,33.3,21.2,35.2,51496900,10655500,12932123,-55.96,5609.35,33.01,-0.79,-6.99,29.31,1.51,585405.34,54.3,103.3,0.9,1.09
2009-10-01,,,77.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-02,,,77.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-05,,,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-06,,,76.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-07,,,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-08,,,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-09,,,76.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76,5.29
2009-10-12,,,76.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.59,-0.38
2009-10-13,,,75.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,1.49
2009-10-14,,,75.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,0.9
2009-10-15,,,75.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.38
2009-10-16,,,75.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,0.06
2009-10-19,,,75.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,2.7
2009-10-20,,,75.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,1.45
2009-10-21,,,75.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45,-0.25
2009-10-22,,,75.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.62,-0.65
2009-10-23,,,75.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,1.97
2009-10-26,,,76.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.03
2009-10-27,,,76.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.83,-2.91
2009-10-28,,,76.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.44
2009-10-29,,,75.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.34,-2.47
2009-10-30,,,76.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.03
2009-10-31,,,,,,,,,3134,15.87,,16.1,,,,,33.1,22,31.5,45493100,10942500,23987634,-31.93,6844.93,28.45,-0.53,-5.85,29.42,0.21,586643.29,55.2,106.7,,
2009-11-02,,,76.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.43
2009-11-03,,,76.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,1.26
2009-11-04,,,75.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.54
2009-11-05,,,75.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.3
2009-11-06,,,75.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.54
2009-11-09,,,75.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.37
2009-11-10,,,74.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.23
2009-11-11,,,75.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-0.23
2009-11-12,,,75.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,0.12
2009-11-13,,,75.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.54
2009-11-16,,,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,3.04
2009-11-17,,,75.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.07
2009-11-18,,,75.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.05
2009-11-19,,,75.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.34
2009-11-20,,,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37,-0.31
2009-11-23,,,75.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,0.95
2009-11-24,,,75.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.45,-3.2
2009-11-25,,,74.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,2.3
2009-11-26,,,74.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.62,-3.96
2009-11-27,,,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.36,-2.96
2009-11-30,,,74.81,,,,,,3284,27.63,,19.2,59.2,,7.8,,32.1,23.5,33.1,33173500,15908700,19092998,-52.37,5029.3,32.62,0.56,-2.08,29.74,1.36,594604.72,55.2,114,3.2,3.82
2009-12-01,,,74.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,1.4
2009-12-02,,,74.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,1.02
2009-12-03,,,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,-0.18
2009-12-04,,,75.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,1.47
2009-12-07,,,75.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.7
2009-12-08,,,76.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.06,-1.22
2009-12-09,,,76.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.73,-1.92
2009-12-10,,,76.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.64
2009-12-11,,,76.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,-0.06
2009-12-14,,,76.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,1.06
