证券代码,证券名称,首发上市日期,相对大盘区间涨跌幅3月前,相对大盘区间涨跌幅6月前,相对大盘区间涨跌幅52周前,"收盘价
[交易日期]最新(2020-07-21)
[复权方式]不复权","每股收益EPS(基本)
[报告期]最新一期
[单位]元","每股息税前利润
[报告期]最新一期
[单位]元","净资产收益率ROE(平均)
[报告期]最新一期
[单位]%","净资产收益率ROE(加权)
[报告期]最新一期
[单位]%","销售净利率
[报告期]最新一期
[单位]%","总资产报酬率ROA
[报告期]最新一期
[单位]%","销售毛利率
[报告期]最新一期
[单位]%","研发费用/营业总收入
[报告期]最新一期","投入资本回报率ROIC(TTM)
[交易日期]最新(2020-07-21)
[单位]%
[TTM基准日]报表公告日期","年化投入资本回报率ROIC
[报告期]最新一期
[单位]%","EBITDA/营业总收入
[报告期]最新一期
[单位]%","价值变动净收益/利润总额
[报告期]最新一期
[单位]%","经营活动产生的现金流量净额/营业收入
[报告期]最新一期
[单位]%","经营活动产生的现金流量净额/经营活动净收益
[报告期]最新一期
[单位]%","资产负债率
[报告期]最新一期
[单位]%","流动资产/总资产
[报告期]最新一期
[单位]%","非流动资产/总资产
[报告期]最新一期
[单位]%","流动比率
[报告期]最新一期","现金比率
[报告期]最新一期
[调整类型]调整前","速动比率
[报告期]最新一期","息税折旧摊销前利润/负债合计
[报告期]最新一期","存货周转天数
[报告期]最新一期
[单位]天","应收账款周转天数(含应收票据)
[报告期]最新一期
[单位]天","存货周转率
[报告期]最新一期
[单位]次","基本每股收益同比增长率
[报告期]最新一期
[单位]%","营业总收入同比增长率
[报告期]最新一期
[单位]%","收益质量风险
[报告期]最新一期"
600605.SH,汇通能源,1992-03-27,13.46560294,7.711455905,8.748507144,13.43,0.083,0.10221867,1.695432914,1.694,61.95839287,1.950983883,71.9326408,——,5.548888899,6.781731658,——,29.08550347,-32.37984598,-80.39350077,6.353013987,84.15374042,15.84625958,13.24627029,0.395289732,13.24627029,——,——,23.72487821,——,344.1176471,-45.10852263,——
600606.SH,绿地控股,1992-03-27,23.91012425,5.816814485,-9.831936286,7.69,0.3,0.614175465,4.637561264,10.46,5.654166479,0.656681383,16.53448097,0.100893193,3.534626987,3.757589114,——,13.90466064,-10.04007397,-143.6356267,88.3371052,88.22706898,11.77293102,1.252597232,0.098142357,0.464809116,——,878.6512954,92.61908898,0.102429713,-16.66666667,-11.95515103,——
000011.SZ,深物业A,1992-03-30,174.6852607,174.0125835,135.4542014,25.85,0.2551,0.425983591,4.71618265,4.72,14.90723814,2.301647607,61.58917517,——,13.84459268,10.41664076,——,-0.005512134,-70.72257545,-306.8295519,69.93198064,88.18550487,11.81449513,2.08331498,0.724825816,0.977537508,——,1386.614904,26.94629206,0.064906269,59.53721076,64.19666333,——
000007.SZ,全新好,1992-04-13,-8.840703146,-15.33936136,21.34765806,8.66,-0.0658,-0.082187825,-11.52001169,-11.55,-260.3331472,-5.520488084,68.36805578,——,-5.041228181,-46.08004677,——,——,-144.4137988,-3238.617891,61.84054279,70.87488999,29.12511001,9.118131993,0.372497217,9.080016115,——,26.13453474,0.749839675,3.443719236,-356.0311284,-5.133219083,——
000006.SZ,深振业A,1992-04-27,50.03327,36.8626574,31.00744115,7.74,0.0948,0.161043352,1.881773568,1.88,21.55892344,1.399226504,47.81535282,——,7.29688847,4.617157592,——,10.2889482,-38.0227433,-141.0259491,52.31055058,78.75278583,21.24721417,3.118139205,0.590924488,1.120789772,——,2074.769997,2.250083724,0.043378302,15.46894032,57.73144434,——
000020.SZ,深华发A,1992-04-28,24.37394832,14.82700073,11.16932142,13.15,-0.0014,0.006219617,-0.121721591,-0.12,-0.456421984,0.285326487,16.09116656,1.034487156,1.099924268,-0.359246321,——,——,9.033320941,——,46.95844028,52.71327658,47.28672342,1.500225615,0.150560882,1.190703387,——,82.11471334,135.0186751,1.096027695,-255.5555556,-38.99417816,——
000008.SZ,神州高铁,1992-05-07,-17.9759753,-19.73679477,-27.49566866,3.16,-0.0425,-0.028980704,-1.461617815,-1.46,-90.27708576,-0.669406069,42.36582595,28.03387992,3.244475872,-4.401816505,——,——,-260.128822,——,37.85897908,53.88851659,46.11148341,1.496604596,0.259972183,1.275152501,——,1187.404358,2837.714664,0.075795578,-1111.904762,-61.35236819,——
000014.SZ,沙河股份,1992-06-02,45.87081373,35.41925716,26.16467385,13.47,0.0385,0.065456941,0.867754611,0.81,11.32483622,0.659839417,29.52902844,——,3.304605182,3.054968262,——,——,-29.03620937,-251.4351515,52.41425999,94.06589818,5.934101825,2.09787901,0.264880318,0.539212293,——,2106.918785,0.049456353,0.042716407,214.9253731,1102.120362,——
600609.SH,金杯汽车,1992-07-24,49.25031977,98.68391418,101.1155386,8.3,0.001,0.071369607,0.298848115,0.3,4.115813358,1.553998844,14.23824792,1.037816791,2.593673312,0.202125199,——,2.788105802,7.717829274,151.6862356,75.25247346,66.33143585,33.66856415,0.958384096,0.370726608,0.824086201,——,36.94094595,100.8646414,2.436320936,-94.11764706,-30.68991467,——
600611.SH,大众交通,1992-08-07,-5.578234496,-7.515323245,-19.91401563,4.09,-0.011,0.008154225,-0.27825374,-0.28,-3.069737347,0.117223046,21.46478911,0.259979709,4.057044895,-0.833101746,——,——,-91.69253686,-1644.804112,39.63963211,59.2243418,40.7756582,2.061359617,0.477370192,1.272725525,——,774.4180278,27.92349641,0.116216303,-105.7651992,-23.13101135,——
600612.SH,老凤祥,1992-08-14,34.10130222,3.636311735,15.82030028,59.38,0.7105,1.440965919,5.158622731,5.16,3.359346772,4.1285865,8.171265294,0.025545967,8.73405179,9.521154948,——,-3.886776656,20.20377263,422.8978366,54.34948934,96.04811922,3.95188078,1.985684672,0.828569291,1.027522285,——,68.88356304,5.860732344,1.306552623,-0.573747551,-3.444330093,——
600613.SH,神奇制药,1992-08-20,-16.55570554,-14.65995584,-7.006520546,7.27,0.02,0.034831635,0.331553323,0.33,3.209671635,0.519579802,49.5534851,0.566587384,2.330331565,1.161364343,——,——,4.345443664,89.231485,26.06078126,51.96565692,48.03434308,2.884478379,0.850599118,2.565838216,——,95.66962863,208.6446933,0.940737424,-50,-19.55761894,——
600655.SH,豫园股份,1992-09-02,32.96267498,26.80265326,24.20047453,10.86,0.084,0.236769116,1.034644719,1.034,4.724164744,0.91848505,22.16795376,——,5.149061492,2.199167915,——,-15.3009785,1.095390532,14.42148243,63.87454169,64.7637354,35.2362646,1.571203745,0.445689563,0.725512089,——,400.3791353,7.373835554,0.224786938,-19.23076923,27.09791486,——
600615.SH,丰华股份,1992-09-10,-3.995218666,-22.79822303,14.0657505,9.14,-0.006,-0.002065865,-0.181871792,-0.182,-13.16094004,-0.057769582,6.125732212,——,4.781428186,-0.725583214,——,——,-95.71043532,——,5.371043643,91.94847749,8.051522506,32.96292933,0.517095687,32.39864088,——,116.0074606,211.7409417,0.775812172,-200,-21.50874417,——
600616.SH,金枫酒业,1992-09-29,-10.19516693,-9.057135095,-26.95200289,4.95,-0.004,-0.006343108,-0.102746224,-0.1,-1.592381456,-0.142624209,41.54930152,0.394731314,-0.623803496,-0.404155217,——,——,-43.77582438,——,13.10415994,67.22802515,32.77197485,6.430049498,1.129062548,3.257030926,——,781.0513108,94.71080362,0.115229305,-105,-35.45041587,——
000019.SZ,深粮控股,1992-10-12,7.551694554,51.35477727,34.0688044,9.93,0.072,0.077331754,1.8596932,1.86,5.092705706,1.321069952,14.69432658,0.227832046,5.945034768,6.134824028,——,5.358626221,17.55937433,222.1374528,29.91622313,58.65341831,41.34658169,3.931552742,0.224637765,1.057106202,——,185.1204863,12.86504836,0.486169855,-31.62393162,-34.09170017,——
600617.SH,国新能源,1992-10-13,9.457667884,-8.955631335,-26.07791375,4.67,-0.042,0.183393087,-1.211053054,-1.21,-2.557893999,0.656893958,14.34658286,0.026909021,-0.210858697,-0.690121672,——,——,-10.06751395,——,86.29915079,22.94707525,77.05292475,0.574828413,0.26601363,0.54834607,——,11.59805308,55.45191198,7.759923101,-198.1308411,-30.73414759,——
600618.SH,氯碱化工,1992-11-13,-4.945070406,9.851866865,-10.76200202,8.55,0.0762,0.085837764,1.876876534,1.88,7.658649097,1.681849367,12.90884125,1.801624971,13.83016044,7.373069949,——,9.844354482,-7.067757358,-89.20803523,19.61871956,51.54870664,48.45129336,2.953900324,2.076395495,2.689063679,——,20.94120246,18.27557864,4.297747475,-61.04294479,-20.70700725,——
600619.SH,海立股份,1992-11-16,-13.86359837,-5.336717055,-17.5736473,8.43,0.04,0.061577592,0.68153462,0.68,1.719343941,0.387827243,13.06541602,4.30193239,2.374853432,1.420718128,——,-4.92691756,-36.80120924,-3490.805176,60.99304551,62.59317841,37.40682159,1.15064938,0.102376582,0.857627784,——,97.69269768,134.4218237,0.921256165,-66.66666667,-29.83633258,——
600620.SH,天宸股份,1992-11-17,22.82434213,16.99893249,0.541133874,8.09,-0.0089,-0.010588605,-0.259637652,-0.26,-66.77411617,-0.246988126,46.66254113,——,2.659115854,-1.037593279,——,——,-30.10727088,——,15.9594613,34.68988797,65.31011203,16.68595355,5.941101826,16.02705253,——,647.6579839,25.27487682,0.138962234,-340.5405405,-17.64597842,——
