date,新综指,沪深300,上证指数,机械设备,汽车,非银金融,银行,通信,传媒,计算机,国防军工,电气设备,建筑装饰,建筑材料,综合,休闲服务,商业贸易,房地产,交通运输,公用事业,医药生物,轻工制造,纺织服装,食品饮料,家用电器,电子,有色金属,钢铁,化工,采掘,农林牧渔
2019/8/13,-0.6287,-0.9017,-0.63,-1.0228,-1.2686,-1.5863,-1.0894,-0.8373,-1.0666,-1.2489,-0.0808,-0.671,-1.1158,-1.5012,-0.5312,-1.3625,-0.8229,-0.929,-0.0407,-0.3093,0.0273,-0.0116,-0.3799,-0.2611,-0.4276,-0.4873,1.2892,-0.8512,-0.6086,-0.9636,-1.1991
2019/8/14,0.4169,0.4542,0.4167,0.3695,0.7038,0.0662,-0.2365,0.5689,0.4197,0.7973,1.4532,0.2391,0.1594,0.5321,0.8674,1.7006,0.6902,-0.0299,0.3536,0.5869,1.4725,0.6927,0.4213,1.8418,0.2099,0.8746,-0.7137,0.2602,0.7104,0.6331,-0.5003
2019/8/15,0.2475,0.315,0.245,0.0122,0.4092,0.6435,-0.0746,1.0517,0.6629,1.809,0,0.7169,-0.177,0.349,0.0852,-0.9201,0.1373,0.015,-0.0468,0.1629,0.7744,0.4898,-0.2488,-0.0119,-0.4636,1.8382,-0.3251,0.2016,0.1369,-0.4631,-0.3619
2019/8/16,0.2841,0.4477,0.285,0.1995,0.2028,0.689,-0.2364,-0.2776,0.5762,1.0694,-0.0027,-0.4731,-0.0328,0.9836,0.8107,2.9294,0.7048,-0.1006,0.4095,0.2183,0.8537,0.4834,0.2322,1.4063,0.2495,0.7512,0.6635,-0.2709,0.1484,0.012,1.6984
2019/8/19,2.0991,2.171,2.099,2.6073,2.203,4.0763,0.4711,4.6407,4.1633,4.987,2.8837,3.2456,2.6153,2.5312,3.0987,1.0736,2.7555,3.0669,2.6152,2.6044,2.319,2.9085,2.3603,0.979,2.6278,4.1948,1.2936,2.0543,2.454,2.1267,-0.5555
2019/8/20,-0.1064,-0.0887,-0.1073,0.0374,-0.3589,-0.7501,-0.2098,0.101,0.4168,-0.1323,0.5734,-0.2435,0.37,0.374,0.0466,0.1448,-0.1753,0.4169,0.1375,-0.6635,0.0004,-0.0188,0.0551,0.7781,0.1865,0.163,1.0328,0.0185,-0.1193,0.331,0.271
2019/8/21,0.0113,-0.1577,0.0114,-0.3042,-0.262,-0.1561,-0.3053,0.2595,-0.3708,0.0506,0.0848,1.6514,-0.0618,0.4946,0.5403,-0.2486,0.2087,0.4035,0.4888,0.2177,-0.4655,0.1223,-0.0659,-0.9493,1.1837,1.0498,-1.3194,-0.3535,0.1669,-0.5402,-0.8966
2019/8/22,0.1082,0.3107,0.1078,0.1617,0.3704,0.1106,-0.1673,-0.1595,1.0432,0.2506,1.4592,0.2036,-0.1183,-0.5817,0.1814,2.2225,-0.0985,-0.5403,0.3209,0.1084,0.6817,0.6907,0.4095,1.923,0.4277,-0.3197,0.0081,-0.419,0.056,-0.0352,1.2644
2019/8/23,0.4866,0.7212,0.4852,0.1423,0.1633,0.852,1.095,-1.4523,-0.7164,-0.4839,-0.668,-0.3618,-0.2054,0.7189,-0.3996,0.3718,0.09,-0.2033,0.3029,-0.1715,2.3961,0.0153,-0.0242,1.1175,0.3274,-0.1189,-0.2415,0.0254,-0.1723,0.0754,-1.2554
2019/8/26,-1.168,-1.4382,-1.1686,-1.4919,-0.062,-2.1359,-1.6795,-1.667,-1.3598,-0.9648,0.0009,-1.2732,-1.3285,-0.9746,0.0682,-0.8562,-0.242,-1.2633,-0.9224,-0.8649,0.5331,-0.8272,-1.1559,-1.8861,-1.594,-1.1284,0.3343,-0.7842,-0.9529,-0.632,-0.1843
2019/8/27,1.3504,1.3552,1.3489,1.7225,2.8898,1.1408,0.4511,1.9342,2.3827,3.0003,1.7361,1.723,1.7489,0.9842,1.3263,1.2002,1.5995,1.0078,1.1709,1.5832,1.3348,1.2151,1.3573,1.5939,2.4585,1.3608,0.9708,1.8918,1.6479,1.3544,3.0768
2019/8/28,-0.2906,-0.3762,-0.2907,-0.1472,0.6146,-1.1635,-0.7949,-0.2213,0.423,-0.3001,0.3094,0.41,-0.0048,-0.3754,-0.8434,0.2066,0.7944,-0.2331,-0.1561,-0.2984,-1.2311,-0.3983,0.6714,0.4007,0.2168,-0.8586,-0.6436,0.1026,-0.0223,0.47,3.1408
2019/8/29,-0.0986,-0.326,-0.098,-0.3641,-0.6216,-0.5011,-0.6116,-0.6831,0.6461,1.2719,0.2656,-0.4892,-0.4217,-0.8255,-0.0272,0.4071,0.0255,-1.5733,-0.3262,-0.5552,-0.0655,0.085,0.2401,0.7086,-0.7741,0.6748,0.3441,-0.5791,0.1235,-0.4117,-0.8073
2019/8/30,-0.1613,0.248,-0.162,-1.1347,-0.6223,0.0952,0.19,-1.9586,-1.5023,-1.5521,2.6314,-1.0131,-1.0518,-0.7626,-1.4427,-0.0677,-1.4714,-0.8987,-0.6288,-1.2367,-0.283,-1.5541,-0.8197,1.8521,1.2585,-1.9622,-0.381,-0.7201,-1.038,-0.8743,-0.8678
2019/9/2,1.3118,1.2826,1.3121,2.4516,0.9644,1.695,0.57,2.5449,3.438,4.2792,4.1805,2.7061,2.0702,3.052,2.1842,0.215,0.8987,1.0032,1.2608,0.9042,1.6195,1.7551,1.9047,0.1541,2.7413,3.2692,1.4134,1.6632,1.949,2.5714,0.373
2019/9/3,0.2066,0.1375,0.2068,0.5394,-0.546,-0.0063,-0.0621,2.3593,0.8133,0.9627,0.3097,0.2486,0.8625,1.4446,0.7555,0.0267,-0.2409,-0.3233,-0.075,0.3792,-0.5977,0.3779,0.3534,-0.3093,0.2051,3.3949,0.2757,0.3897,0.3865,-0.0379,0.5025
2019/9/4,0.9321,0.8405,0.9303,0.968,0.1945,1.0518,1.6164,0.6086,0.7743,0.9517,-1.07,0.8889,2.2672,1.9485,0.2921,-0.7109,0.4615,2.6721,0.9665,0.5175,-0.0531,0.4519,0.3747,-1.0199,1.4555,0.7859,1.3315,1.7548,1.3542,1.3109,0.0633
2019/9/5,0.961,1.0119,0.9621,1.3026,1.2882,2.0422,1.2783,1.893,0.8811,2.0561,0.5365,0.6101,0.1256,0.176,0.8476,0.2707,0.7671,0.1192,0.5396,0.5311,0.3063,0.7211,0.5218,0.9163,-0.6458,1.5453,0.9217,0.1976,0.9191,0.0972,0.5831
2019/9/6,0.4606,0.5906,0.4601,0.564,1.9643,1.2189,0.6371,3.4262,0.4423,0.7455,0.2672,0.0271,-0.033,0.171,-0.6628,0.7235,-0.0734,0.2333,0.6152,0.3267,0.6831,-0.1708,0.1358,0.0257,0.2841,0.5026,-1.3378,-0.2132,0.6173,0.1719,-2.5339
2019/9/9,0.8366,0.619,0.838,1.8979,1.047,0.4992,-0.3049,5.2694,2.8202,4.3727,1.3324,2.4815,1.1407,0.5714,1.8671,0.5664,1.2324,1.2898,0.3724,0.8537,0.7136,1.6651,1.2191,0.0843,0.671,4.0341,1.6144,1.2622,2.0069,1.0375,-0.6894
2019/9/10,-0.1169,-0.3444,-0.1169,-0.0205,-0.8105,-0.3352,-0.4094,-0.4123,-0.2628,-1.0278,-1.0009,0.1942,-0.0625,0.0279,0.1074,-0.6884,0.4802,-0.112,-0.522,0.2235,1.1991,1.0392,0.293,-0.361,-0.1048,-1.5682,0.192,0.1956,0.2687,0.0551,1.4914
